var,prefix,LR_sum,Qs_sum,bayes_factor
popcount,USUV_A,100,0,0.7544
GDP,USUV_A,100,0,0.4925
unifre,USUV_A,100,8,3.5455
gcrop,USUV_A,100,6,0.5152
gpast,USUV_A,100,71,3.3478
gurbn,USUV_A,100,81,3.3478
gpri,USUV_A,100,1,0.8182
gsecd,USUV_A,100,75,5.6667
gflcu,USUV_A,100,74,1.5641
gflpu,USUV_A,100,82,1.5641
gflvu,USUV_A,100,0,2.3333
gflsu,USUV_A,100,87,2.3333
cul_veg,USUV_A,100,0,0.8519
her_veg,USUV_A,100,2,9
flood_veg,USUV_A,100,6,2.5714
Deciduous_broad,USUV_A,100,0,1.0408
Evergreen_broad,USUV_A,100,0,1.439
Needle,USUV_A,100,0,2.0303
Mixed,USUV_A,100,0,1.1739
Shrubs,USUV_A,100,1,0.5152
open_water,USUV_A,98,0,0.6667
elevation,USUV_A,100,0,1.8571
chicken,USUV_A,74,0,0.2658
duck,USUV_A,100,0,0.4493
meat,USUV_A,100,52,6.1429
Flyway_Apod,USUV_A,100,80,3.3478
mamms,USUV_A,100,0,1
wetland_new,USUV_A,100,4,0.9608
livestock,USUV_A,100,2,1.9412
Flyway_Ans,USUV_A,100,11,2.5714
Flyway_Pas,USUV_A,100,0,0.4286
wetland_combine,USUV_A,100,32,1.7027
lake_river_reservoir,USUV_A,100,21,2.0303
bird_richness,USUV_A,100,42,0.7857
popcount,USUV_B,100,0,0.1236
GDP,USUV_B,96,0,0.1765
unifre,USUV_B,100,0,0.4085
gcrop,USUV_B,100,24,0.7544
gpast,USUV_B,100,68,1.1277
gurbn,USUV_B,100,11,13.2857
gpri,USUV_B,100,40,0.6949
gsecd,USUV_B,100,96,8.0909
gflcu,USUV_B,100,46,0.8519
gflpu,USUV_B,100,23,0.8182
gflvu,USUV_B,100,0,0.5385
gflsu,USUV_B,100,44,0.7544
cul_veg,USUV_B,100,0,1.439
her_veg,USUV_B,100,0,0.5625
flood_veg,USUV_B,100,7,0.6949
Deciduous_broad,USUV_B,100,0,2.0303
Evergreen_broad,USUV_B,100,0,0.6393
Needle,USUV_B,100,2,3.1667
Mixed,USUV_B,100,0,0.7544
Shrubs,USUV_B,100,57,2.8462
open_water,USUV_B,100,0,1.7778
elevation,USUV_B,100,13,2.2258
chicken,USUV_B,59,0,0.2048
duck,USUV_B,100,0,0.5385
meat,USUV_B,100,65,15.6667
Flyway_Apod,USUV_B,100,64,0.7544
mamms,USUV_B,100,89,11.5
wetland_new,USUV_B,100,2,0.8182
livestock,USUV_B,100,0,0.0309
Flyway_Ans,USUV_B,100,0,0.0309
Flyway_Pas,USUV_B,100,0,0.0204
wetland_combine,USUV_B,100,35,0.9608
lake_river_reservoir,USUV_B,100,56,0.5873
bird_richness,USUV_B,100,55,1
popcount,USUV_C,100,0,0.1111
GDP,USUV_C,69,0,0.1236
unifre,USUV_C,100,0,1.2222
gcrop,USUV_C,100,45,1.1277
gpast,USUV_C,100,63,0.8868
gurbn,USUV_C,100,54,1.439
gpri,USUV_C,100,48,1
gsecd,USUV_C,100,50,1.3256
gflcu,USUV_C,100,76,1.1739
gflpu,USUV_C,100,81,1
gflvu,USUV_C,100,0,0.8182
gflsu,USUV_C,100,63,0.8868
cul_veg,USUV_C,100,0,1.0833
her_veg,USUV_C,100,0,1.439
flood_veg,USUV_C,100,23,0.5385
Deciduous_broad,USUV_C,100,0,1.6316
Evergreen_broad,USUV_C,100,0,1
Needle,USUV_C,100,0,0.7544
Mixed,USUV_C,100,0,1.2222
Shrubs,USUV_C,100,6,1.2222
open_water,USUV_C,100,0,5.6667
elevation,USUV_C,100,4,99
chicken,USUV_C,47,0,0.2658
duck,USUV_C,64,0,0.2658
meat,USUV_C,100,37,2.2258
Flyway_Apod,USUV_C,100,94,2.0303
mamms,USUV_C,100,20,1.3256
wetland_new,USUV_C,100,12,1.8571
livestock,USUV_C,100,0,0.0526
Flyway_Ans,USUV_C,100,11,0.5625
Flyway_Pas,USUV_C,100,3,1.0408
wetland_combine,USUV_C,100,30,0.7857
lake_river_reservoir,USUV_C,100,54,0.9608
bird_richness,USUV_C,100,25,1.9412
popcount,USUV_D,98,1,0.5385
GDP,USUV_D,85,0,0.3158
unifre,USUV_D,100,39,0.8868
gcrop,USUV_D,100,3,0.4286
gpast,USUV_D,100,59,1.439
gurbn,USUV_D,100,25,0.9608
gpri,USUV_D,100,54,1.1277
gsecd,USUV_D,100,44,0.7857
gflcu,USUV_D,100,61,0.8868
gflpu,USUV_D,100,74,0.8868
gflvu,USUV_D,100,0,0.9231
gflsu,USUV_D,100,75,0.9608
cul_veg,USUV_D,75,1,0.2195
her_veg,USUV_D,100,55,3
flood_veg,USUV_D,100,6,0.8868
Deciduous_broad,USUV_D,100,34,2.4483
Evergreen_broad,USUV_D,100,1,1.0833
Needle,USUV_D,75,4,0.2346
Mixed,USUV_D,99,43,4
Shrubs,USUV_D,100,63,2.8462
open_water,USUV_D,90,17,1.1277
elevation,USUV_D,98,51,2.2258
chicken,USUV_D,23,11,0.9231
duck,USUV_D,43,4,0.3333
meat,USUV_D,100,26,0.4706
Flyway_Apod,USUV_D,100,93,1.8571
mamms,USUV_D,100,31,0.5385
wetland_new,USUV_D,100,60,2.3333
livestock,USUV_D,98,17,0.9231
Flyway_Ans,USUV_D,100,17,0.7857
Flyway_Pas,USUV_D,100,7,0.3889
wetland_combine,USUV_D,100,19,0.6949
lake_river_reservoir,USUV_D,100,10,1.0408
